Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,154.15,7.37,264.82,13.27,22.8,,,,1.0,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,156.76,7.52,270.37,13.66,23.56,,,,1.0,2.56,9.17%,4.92%,4.26%
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,158.06,7.5,273.7,13.73,23.77,,,,1.0,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,159.24,7.56,276.83,13.96,24.26,,,,1.0,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.2,0.36,8.47,1879.71,4.09,159.54,7.37,278.42,13.7,23.92,,,,1.0,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.2,0.37,8.94,1879.79,4.07,167.52,7.04,293.37,13.18,23.09,,,,1.0,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.2,0.37,9.42,1879.87,4.05,167.56,6.74,294.42,12.72,22.35,,,,1.0,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.2,0.38,9.7,1879.96,4.04,162.3,6.6,286.15,12.54,22.1,,,,1.0,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,163.75,6.57,289.67,12.47,22.06,,,,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.2,0.21,0.4,9.99,1880.12,3.99,166.63,6.73,295.76,12.76,22.65,,,,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.3,0.22,0.41,10.09,1880.21,3.97,168.24,6.82,299.62,12.94,23.04,,,,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.7,1880.29,3.94,170.88,7.26,305.4,13.75,24.57,,,,1.01,2.24,8.18%,6.59%,1.59%
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,162.12,7.65,290.88,14.47,25.97,,,,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,166.16,7.98,299.32,15.09,27.18,,,,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,173.79,8.15,314.29,15.41,27.87,,,,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,180.03,8.33,326.84,15.72,28.55,,,,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,177.85,8.41,324.15,15.88,28.94,,,,1.01,2.4,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,183.0,8.58,334.84,16.2,29.63,,,,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,190.67,8.67,350.19,16.34,30.01,,,,1.01,2.4,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,196.5,8.75,362.24,16.49,30.39,,,,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.7,210.38,9.01,389.22,16.51,30.55,18.47,24.14,-1.05%,1.0,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,207.6,9.08,385.48,16.21,30.09,18.15,23.66,-1.14%,1.0,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,209.96,9.25,391.28,16.07,29.94,18.27,23.77,-1.31%,1.0,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,207.22,9.33,387.62,15.77,29.5,17.95,23.31,-0.75%,1.0,2.4,4.60%,5.46%,-0.87%
1881.05,6.5,0.29,0.47,9.51,1881.37,3.67,218.71,9.59,410.61,15.79,29.64,18.87,24.46,-0.89%,1.0,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,221.4,9.76,417.19,15.65,29.48,19.03,24.62,-0.77%,1.0,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.3,0.46,9.61,1881.54,3.66,211.55,9.83,400.17,15.35,29.04,18.12,23.4,-0.40%,1.0,2.43,4.46%,5.96%,-1.50%
1881.08,6.2,0.3,0.46,9.8,1881.62,3.65,202.54,9.8,384.67,14.92,28.34,17.29,22.29,0.21%,1.0,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,196.54,9.59,374.8,14.23,27.14,16.72,21.54,0.56%,1.0,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,191.6,9.66,366.92,13.97,26.75,16.26,20.93,0.67%,1.0,2.29,6.79%,6.79%,0.00%
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,194.65,9.91,374.34,13.97,26.86,16.48,21.19,0.51%,1.0,2.32,6.58%,6.82%,-0.23%
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,188.99,10.06,365.06,13.84,26.73,15.96,20.51,0.49%,1.0,2.33,7.21%,6.81%,0.40%
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,186.16,10.06,361.22,13.81,26.8,15.68,20.14,0.61%,1.0,2.34,7.83%,7.08%,0.75%
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,180.39,9.97,351.63,13.66,26.62,15.15,19.46,0.92%,1.0,2.33,8.18%,7.17%,1.01%
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,180.08,9.97,352.64,13.63,26.69,15.09,19.38,0.80%,1.0,2.33,8.59%,7.45%,1.14%
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,178.42,9.88,351.01,13.48,26.52,14.92,19.15,0.75%,1.0,2.32,8.80%,7.68%,1.12%
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,174.66,9.79,345.22,13.33,26.35,14.57,18.7,1.00%,1.0,2.3,9.02%,7.77%,1.25%
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,172.18,9.7,341.91,13.19,26.18,14.33,18.39,1.27%,1.0,2.29,9.10%,7.85%,1.25%
1882.07,6.0,0.32,0.43,10.47,1882.54,3.63,183.53,9.79,366.07,13.28,26.49,15.24,19.56,0.91%,1.0,2.32,8.11%,7.46%,0.65%
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,187.33,9.7,375.27,13.13,26.31,15.53,19.91,0.80%,1.0,2.3,7.89%,7.41%,0.49%
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,194.41,9.97,391.1,13.47,27.11,16.08,20.62,0.24%,1.0,2.37,7.21%,7.10%,0.11%
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,190.88,10.06,385.69,13.58,27.43,15.76,20.19,0.49%,1.0,2.4,7.62%,6.99%,0.62%
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,184.43,10.16,374.36,13.67,27.76,15.19,19.47,0.35%,1.0,2.43,7.66%,6.61%,1.05%
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,187.14,10.25,381.61,13.78,28.1,15.38,19.7,0.32%,1.0,2.46,7.24%,6.37%,0.88%
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,186.18,10.28,381.4,13.7,28.06,15.27,19.56,0.36%,1.0,2.47,7.08%,5.97%,1.12%
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,180.3,10.21,371.09,13.49,27.77,14.76,18.9,0.47%,1.0,2.45,7.10%,5.94%,1.15%
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,184.26,10.33,381.01,13.54,28,15.05,19.27,0.25%,1.0,2.49,6.72%,6.10%,0.61%
1883.04,5.87,0.32,0.42,9.9,1883.29,3.63,189.91,10.46,394.51,13.59,28.23,15.48,19.82,-0.03%,1.0,2.52,6.52%,6.13%,0.38%
1883.05,5.77,0.32,0.42,9.8,1883.37,3.63,188.49,10.59,393.39,13.64,28.46,15.34,19.63,0.15%,1.0,2.55,5.74%,6.17%,-0.43%
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,195.83,10.94,410.6,13.96,29.28,15.9,20.36,-0.08%,1.0,2.63,5.09%,6.13%,-1.04%
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,196.73,11.19,414.46,14.16,29.84,15.95,20.41,-0.29%,1.0,2.7,4.29%,6.19%,-1.90%
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,187.81,11.22,397.62,14.08,29.8,15.2,19.45,0.02%,1.0,2.7,4.94%,6.62%,-1.68%
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,191.83,11.36,408.13,14.14,30.07,15.49,19.83,-0.20%,1.0,2.74,5.02%,6.09%,-1.07%
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,186.62,11.39,399.08,14.05,30.04,15.05,19.26,0.21%,1.0,2.75,5.47%,5.96%,-0.48%
1883.11,5.46,0.33,0.4,9.13,1883.87,3.62,191.37,11.54,411.29,14.11,30.32,15.41,19.72,0.26%,1.0,2.79,5.64%,6.13%,-0.49%
1883.12,5.34,0.33,0.4,9.23,1883.96,3.62,185.23,11.45,400.15,13.88,29.97,14.9,19.07,0.36%,1.0,2.77,5.75%,6.38%,-0.64%
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,179.68,11.39,390.21,13.62,29.57,14.43,18.48,0.42%,1.0,2.78,6.14%,6.68%,-0.54%
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,184.54,11.33,402.81,13.35,29.15,14.81,18.96,0.26%,1.0,2.79,6.14%,6.84%,-0.70%
1884.03,5.3,0.33,0.38,9.23,1884.21,3.6,183.85,11.27,403.35,13.09,28.73,14.74,18.88,0.30%,1.0,2.8,6.79%,7.16%,-0.37%
1884.04,5.06,0.32,0.37,9.04,1884.29,3.6,179.22,11.45,395.28,13.1,28.9,14.35,18.4,0.43%,1.0,2.87,7.19%,6.94%,0.25%
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,168.24,11.64,373.21,13.12,29.09,13.47,17.27,0.77%,1.0,2.94,7.45%,6.73%,0.72%
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,161.36,11.58,360.1,12.84,28.66,12.91,16.58,1.33%,1.0,2.95,7.74%,6.74%,1.00%
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,163.12,11.64,366.17,12.71,28.53,13.04,16.77,1.08%,1.0,2.99,7.38%,6.63%,0.74%
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,173.36,11.58,391.33,12.43,28.07,13.86,17.83,0.71%,1.0,3.0,6.80%,6.34%,0.46%
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,169.72,11.65,385.3,12.29,27.91,13.57,17.47,0.77%,1.0,3.05,7.03%,6.09%,0.94%
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,165.99,11.71,379.07,12.15,27.75,13.27,17.11,0.99%,1.0,3.09,7.21%,6.28%,0.93%
